Date-time,Text, Unix Timestamp
10:00 AM - 21 Dec 2013,#Inter - #Milan: ecco il servizio di #ATM in occasione del derby di domani sera a San Siro http://bit.ly/JJT5ac . #SerieA #Milano,1387648851

8:58 AM - 21 Dec 2013,#bus54 #bus61: rallentamenti (traffico intenso). #ATM #Milano,1387645120

7:04 AM - 21 Dec 2013,#bus86 > Gobba: riprende il percorso regolare dopo deviazione per urto tra mezzi privati. #ATM #Milano,1387638247

6:10 AM - 21 Dec 2013,#bus86 > Gobba: devia da viale Suzzani a viale Fulvio Testi (urto tra mezzi privati). #ATM #Milano,1387635050

3:58 AM - 21 Dec 2013,#M1 #M2 #M3 #M5: al momento la circolazione dei treni è normale in tutte le direzioni. #Milano #ATM,1387627096

3:41 AM - 21 Dec 2013,#bus60: rallentamenti (traffico in via Plinio/Duca d’Aosta). #ATM #Milano,1387626098

3:40 AM - 21 Dec 2013,22/12: #bus701 #bus707 modificano il percorso dall‘inizio del servizio fino alle 16 circa (mercato) http://bit.ly/1gDAo6h . #ATM,1387626018

3:18 AM - 21 Dec 2013,#bus56 #bus93: rallentamenti (rispettivamente per traffico in via Padova e in via Sismondi/Gorini). #ATM #Milano,1387624696

1:41 AM - 21 Dec 2013,#tram33 > Rimembranze di Lambrate: riprende il percorso regolare fino al capolinea con rallentamenti. #ATM #Milano,1387618916

1:32 AM - 21 Dec 2013,#tram33 > Rimembranze di Lambrate: termina in via Bassini/Viotti (urto tra mezzi privati). #ATM #Milano,1387618340

12:28 AM - 21 Dec 2013,#tram2 #tram14: riprendono il percorso regolare con rallentamenti dopo deviazione per urto tra privati. #ATM #Milano,1387614535

12:13 AM - 21 Dec 2013,#tram14 > Lorenteggio: devia da Carrobbio a Coni Zugna  #tram14 > Cimitero Maggiore: devia da Coni Zugna a Orefici (urto tra privati). #ATM,1387613599

12:12 AM - 21 Dec 2013,#tram2 > Negrelli: devia da Carrobbio a Colombo/Coni Zugna  #tram2 > Bausan: devia da Colombo/Coni Zugna a Cordusio (urto tra privati). #ATM,1387613522

11:56 PM - 20 Dec 2013,#bus95: rallentamenti (traffico in zona Rogoredo). #ATM #Milano,1387612608

10:55 PM - 20 Dec 2013,#tram12 #tram15 #tram16 #tram24 #tram27: rallentamenti (inconveniente tecnico). #ATM #Milano,1387608948

10:41 PM - 20 Dec 2013,#bus51 #bus52 #bus83: rallentamenti (auto in sosta irregolare). #ATM #Milano,1387608070

10:26 PM - 20 Dec 2013,#tram23 > piazza Bottini  #tram33 > Rimembranze di Lambrate: terminano in p. Ascoli (urto tra privati). Bus da p. Ascoli a Bottini/Lambrate.,1387607167

9:59 PM - 20 Dec 2013,Buon sabato da #ATM. Anche oggi twittiamo aggiornamenti sulla circolazione a #Milano fino alle 20.,1387605589

11:04 AM - 20 Dec 2013,@paganin94 ciao  puoi trovare gli orari di partenza e calcolare il percorso fino a destinazione alla pagina http://bit.ly/HtLVGu .,1387566257

10:08 AM - 20 Dec 2013,Bus e filobus: rallentamenti per traffico intenso sulle linee 37  42  43  50  54  57  61  62  70  81  82  90/91  92  93  94  95. #ATM,1387562903

10:07 AM - 20 Dec 2013,Tram: rallentamenti per traffico intenso sulle linee 1  2  3  5  12  14  15  16  24  27  33. #ATM #Milano,1387562859

9:58 AM - 20 Dec 2013,#tram5 #tram33: riprendono regolarmente con possibili rallentamenti (dopo deviazione per auto sui binari). #ATM,1387562304

8:58 AM - 20 Dec 2013,#tram5 #tram33: deviano da viale Regina Giovanna a via Lazaretto (auto sui binari). #ATM #Milano,1387558735

7:24 AM - 20 Dec 2013,#tram1 #tram15 #bus37 #bus42 #bus43 #bus50 #bus57 #bus62 #bus70 #bus81 #bus82 #bus90 #bus93 #bus94 #bus95: rallentamenti (traffico). #ATM,1387553070

7:02 AM - 20 Dec 2013,#bus43: rallentamenti (traffico). #ATM #Milano,1387551759

